0,sound,sansfight,,,,,,,,,
0,SansAnimation,114514,,,,,,,,,
0,CombatZoneResize,150,251,479,391,,,,,,
0,HeartTeleport,320,376,,,,,,,,
0,HeartMode,1,,,,,,,,,

0.3,BoneV,150,355,35,0,200,,,,,
0,BoneV,479,355,35,2,200,,,,,
0.7,BoneV,150,340,50,0,200,,,,,
0,BoneV,479,340,50,2,200,,,,,
1,BoneV,150,355,35,0,300,,,,,
0,BoneV,479,355,35,2,300,,,,,
0.6,BoneV,150,355,35,0,300,,,,,
0,BoneV,479,355,35,2,300,,,,,
0.7,BoneV,150,340,50,0,200,,,,,
0,BoneV,479,340,50,2,200,,,,,
1,BoneV,150,340,50,0,200,,,,,
0,BoneV,479,340,50,2,200,,,,,
0.8,BoneV,150,340,50,0,180,,,,,
0,BoneV,479,340,50,2,180,,,,,
0,BoneV,130,340,50,0,180,,,,,
0,BoneV,499,340,50,2,180,,,,,
0,BoneV,110,340,50,0,180,,,,,
0,BoneV,519,340,50,2,180,,,,,
1.3,BoneV,150,355,35,0,300,,,,,
0,BoneV,479,355,35,2,300,,,,,
0,BoneV,130,355,35,0,300,,,,,
0,BoneV,499,355,35,2,300,,,,,
0.6,CombatZoneResize,200,251,429,391,,,,,,
0,CombatZoneSpeed,240,,,,,,,,,
0.5,BoneV,150,325,60,0,220,,,,,
0,BoneV,479,251,80,2,220,,,,,
0.5,BoneV,479,350,40,2,200,,,,,
0,BoneV,494,340,50,2,200,,,,,
0,BoneV,509,330,60,2,200,,,,,
0,BoneV,524,320,70,2,200,,,,,
0,BoneV,539,320,70,2,200,,,,,
0,BoneV,554,320,70,2,200,,,,,
0,BoneV,569,320,70,2,200,,,,,
0,BoneV,584,330,60,2,200,,,,,
0,BoneV,599,340,50,2,200,,,,,
0,BoneV,614,350,40,2,200,,,,,
2,BoneV,200,325,65,0,200,,,,,
0,BoneV,429,325,65,2,200,,,,,
0,BoneV,200,251,45,0,200,,,,,
0,BoneV,429,251,45,2,200,,,,,
1.2,BoneV,200,325,65,0,200,,,,,
0,BoneV,429,325,65,2,200,,,,,
0,BoneV,200,251,45,0,200,,,,,
0,BoneV,429,251,45,2,200,,,,,
1.2,BoneV,200,325,65,0,200,,,,,
0,BoneV,429,325,65,2,200,,,,,
0,BoneV,200,251,45,0,200,,,,,
0,BoneV,429,251,45,2,200,,,,,
1.2,BoneV,200,325,65,0,200,,,,,
0,BoneV,429,325,65,2,200,,,,,
0,BoneV,200,251,45,0,200,,,,,
0,BoneV,429,251,45,2,200,,,,,
1.2,BoneV,200,325,65,0,200,,,,,
0,BoneV,429,325,65,2,200,,,,,
0,BoneV,200,251,45,0,200,,,,,
0,BoneV,429,251,45,2,200,,,,,
0.6,CombatZoneResize,221,251,409,391,,,,,,
0,CombatZoneSpeed,240,,,,,,,,,
0,DamagePlayer,-20,0,,,,,,,,
0,sound,playerheal,,,,,,,,,
0.4,BoneV,409,325,60,2,220,,,,,
0,BoneV,221,251,80,0,220,,,,,
0.9,BoneV,150,325,60,0,220,,,,,
0,BoneV,479,251,80,2,220,,,,,
1.6,BoneV,221,330,60,0,200,,,,,
0,BoneV,409,330,60,2,200,,,,,
0.3,BoneV,200,251,80,0,200,,,,,
0,BoneV,429,251,80,2,200,,,,,
0.8,BoneVRepeat,221,251,85,0,200,6,110,,,
0,BoneVRepeat,221,366,20,0,200,6,110,,,
0,BoneVRepeat,409,251,85,2,200,6,110,,,
0,BoneVRepeat,409,366,20,2,200,6,110,,,
3.5,CombatZoneResize,150,251,479,391,,,,,,
0,CombatZoneSpeed,240,,,,,,,0,DamagePlayer,20
